lit	lit__1	lit__2	lit__3	lit__4	lit__5	lit__6	lit__7	lit__8	lit__9	lit__10
o	l	G	0	"	"	t	e	e	w	t
b	o	l	G	0	"	"	t	e	e	w
a	b	o	l	G	0	"	"	t	e	e
l	a	b	o	l	G	0	"	"	t	e
w	l	a	b	o	l	G	0	"	"	t
a	w	l	a	b	o	l	G	0	"	"
r	a	w	l	a	b	o	l	G	0	"
m	r	a	w	l	a	b	o	l	G	0
i	m	r	a	w	l	a	b	o	l	G
n	i	m	r	a	w	l	a	b	o	l
g	n	i	m	r	a	w	l	a	b	o
r	g	n	i	m	r	a	w	l	a	b
e	r	g	n	i	m	r	a	w	l	a
p	e	r	g	n	i	m	r	a	w	l
o	p	e	r	g	n	i	m	r	a	w
r	o	p	e	r	g	n	i	m	r	a
t	r	o	p	e	r	g	n	i	m	r
u	t	r	o	p	e	r	g	n	i	m
r	u	t	r	o	p	e	r	g	n	i
g	r	u	t	r	o	p	e	r	g	n
e	g	r	u	t	r	o	p	e	r	g
s	e	g	r	u	t	r	o	p	e	r
g	s	e	g	r	u	t	r	o	p	e
o	g	s	e	g	r	u	t	r	o	p
v	o	g	s	e	g	r	u	t	r	o
e	v	o	g	s	e	g	r	u	t	r
r	e	v	o	g	s	e	g	r	u	t
n	r	e	v	o	g	s	e	g	r	u
m	n	r	e	v	o	g	s	e	g	r
e	m	n	r	e	v	o	g	s	e	g
n	e	m	n	r	e	v	o	g	s	e
t	n	e	m	n	r	e	v	o	g	s
s	t	n	e	m	n	r	e	v	o	g
t	s	t	n	e	m	n	r	e	v	o
o	t	s	t	n	e	m	n	r	e	v
a	o	t	s	t	n	e	m	n	r	e
c	a	o	t	s	t	n	e	m	n	r
t	c	a	o	t	s	t	n	e	m	n
.	t	c	a	o	t	s	t	n	e	m
.	.	t	c	a	o	t	s	t	n	e
.	.	.	t	c	a	o	t	s	t	n
"	.	.	.	t	c	a	o	t	s	t
"	"	.	.	.	t	c	a	o	t	s
