lit	lit:1	lit:2	lit:3	lit:4	lit:5
"	t	e	e	w	t
"	"	t	e	e	w
0	"	"	t	e	e
G	0	"	"	t	e
l	G	0	"	"	t
o	l	G	0	"	"
b	o	l	G	0	"
a	b	o	l	G	0
l	a	b	o	l	G
w	l	a	b	o	l
a	w	l	a	b	o
r	a	w	l	a	b
m	r	a	w	l	a
i	m	r	a	w	l
n	i	m	r	a	w
g	n	i	m	r	a
r	g	n	i	m	r
e	r	g	n	i	m
p	e	r	g	n	i
o	p	e	r	g	n
r	o	p	e	r	g
t	r	o	p	e	r
u	t	r	o	p	e
r	u	t	r	o	p
g	r	u	t	r	o
e	g	r	u	t	r
s	e	g	r	u	t
g	s	e	g	r	u
o	g	s	e	g	r
v	o	g	s	e	g
e	v	o	g	s	e
r	e	v	o	g	s
n	r	e	v	o	g
m	n	r	e	v	o
e	m	n	r	e	v
n	e	m	n	r	e
t	n	e	m	n	r
s	t	n	e	m	n
t	s	t	n	e	m
o	t	s	t	n	e
a	o	t	s	t	n
c	a	o	t	s	t
t	c	a	o	t	s
.	t	c	a	o	t
.	.	t	c	a	o
.	.	.	t	c	a
"	.	.	.	t	c
"	"	.	.	.	t
1	"	"	.	.	.
F	1	"	"	.	.
i	F	1	"	"	.
g	i	F	1	"	"
h	g	i	F	1	"
t	h	g	i	F	1
i	t	h	g	i	F
n	i	t	h	g	i
g	n	i	t	h	g
p	g	n	i	t	h
o	p	g	n	i	t
v	o	p	g	n	i
e	v	o	p	g	n
r	e	v	o	p	g
t	r	e	v	o	p
y	t	r	e	v	o
a	y	t	r	e	v
n	a	y	t	r	e
d	n	a	y	t	r
g	d	n	a	y	t
l	g	d	n	a	y
o	l	g	d	n	a
b	o	l	g	d	n
a	b	o	l	g	d
l	a	b	o	l	g
w	l	a	b	o	l
a	w	l	a	b	o
r	a	w	l	a	b
m	r	a	w	l	a
i	m	r	a	w	l
n	i	m	r	a	w
g	n	i	m	r	a
i	g	n	i	m	r
n	i	g	n	i	m
A	n	i	g	n	i
f	A	n	i	g	n
r	f	A	n	i	g
i	r	f	A	n	i
c	i	r	f	A	n
a	c	i	r	f	A
.	a	c	i	r	f
.	.	a	c	i	r
.	.	.	a	c	i
