lit	lit:1	lit:2	lit:3	lit:4
t	e	e	w	t
"	t	e	e	w
"	"	t	e	e
0	"	"	t	e
G	0	"	"	t
l	G	0	"	"
o	l	G	0	"
b	o	l	G	0
a	b	o	l	G
l	a	b	o	l
w	l	a	b	o
a	w	l	a	b
r	a	w	l	a
m	r	a	w	l
i	m	r	a	w
n	i	m	r	a
g	n	i	m	r
r	g	n	i	m
e	r	g	n	i
p	e	r	g	n
o	p	e	r	g
r	o	p	e	r
t	r	o	p	e
u	t	r	o	p
r	u	t	r	o
g	r	u	t	r
e	g	r	u	t
s	e	g	r	u
g	s	e	g	r
o	g	s	e	g
v	o	g	s	e
e	v	o	g	s
r	e	v	o	g
n	r	e	v	o
m	n	r	e	v
e	m	n	r	e
n	e	m	n	r
t	n	e	m	n
s	t	n	e	m
t	s	t	n	e
o	t	s	t	n
a	o	t	s	t
c	a	o	t	s
t	c	a	o	t
.	t	c	a	o
.	.	t	c	a
.	.	.	t	c
"	.	.	.	t
"	"	.	.	.
1	"	"	.	.
F	1	"	"	.
i	F	1	"	"
g	i	F	1	"
h	g	i	F	1
t	h	g	i	F
i	t	h	g	i
n	i	t	h	g
g	n	i	t	h
p	g	n	i	t
o	p	g	n	i
v	o	p	g	n
e	v	o	p	g
r	e	v	o	p
t	r	e	v	o
y	t	r	e	v
a	y	t	r	e
n	a	y	t	r
d	n	a	y	t
g	d	n	a	y
l	g	d	n	a
o	l	g	d	n
b	o	l	g	d
a	b	o	l	g
l	a	b	o	l
w	l	a	b	o
a	w	l	a	b
r	a	w	l	a
m	r	a	w	l
i	m	r	a	w
n	i	m	r	a
g	n	i	m	r
i	g	n	i	m
n	i	g	n	i
A	n	i	g	n
f	A	n	i	g
r	f	A	n	i
i	r	f	A	n
c	i	r	f	A
a	c	i	r	f
.	a	c	i	r
.	.	a	c	i
.	.	.	a	c
"	.	.	.	a
"	"	.	.	.
2	"	"	.	.
C	2	"	"	.
a	C	2	"	"
r	a	C	2	"
b	r	a	C	2
o	b	r	a	C
n	o	b	r	a
o	n	o	b	r
f	o	n	o	b
f	f	o	n	o
s	f	f	o	n
e	s	f	f	o
t	e	s	f	f
s	t	e	s	f
:	s	t	e	s
H	:	s	t	e
o	H	:	s	t
w	o	H	:	s
a	w	o	H	:
V	a	w	o	H
a	V	a	w	o
t	a	V	a	w
i	t	a	V	a
c	i	t	a	V
a	c	i	t	a
n	a	c	i	t
f	n	a	c	i
o	f	n	a	c
r	o	f	n	a
e	r	o	f	n
s	e	r	o	f
t	s	e	r	o
f	t	s	e	r
a	f	t	s	e
i	a	f	t	s
l	i	a	f	t
e	l	i	a	f
d	e	l	i	a
t	d	e	l	i
o	t	d	e	l
.	o	t	d	e
.	.	o	t	d
.	.	.	o	t
"	.	.	.	o
"	"	.	.	.
3	"	"	.	.
C	3	"	"	.
a	C	3	"	"
r	a	C	3	"
b	r	a	C	3
o	b	r	a	C
n	o	b	r	a
o	n	o	b	r
f	o	n	o	b
f	f	o	n	o
s	f	f	o	n
e	s	f	f	o
t	e	s	f	f
s	t	e	s	f
:	s	t	e	s
H	:	s	t	e
o	H	:	s	t
w	o	H	:	s
a	w	o	H	:
V	a	w	o	H
a	V	a	w	o
t	a	V	a	w
i	t	a	V	a
c	i	t	a	V
a	c	i	t	a
n	a	c	i	t
f	n	a	c	i
o	f	n	a	c
r	o	f	n	a
e	r	o	f	n
s	e	r	o	f
t	s	e	r	o
f	t	s	e	r
a	f	t	s	e
i	a	f	t	s
l	i	a	f	t
e	l	i	a	f
d	e	l	i	a
t	d	e	l	i
o	t	d	e	l
.	o	t	d	e
.	.	o	t	d
.	.	.	o	t
"	.	.	.	o
"	"	.	.	.
4	"	"	.	.
U	4	"	"	.
R	U	4	"	"
U	R	U	4	"
G	U	R	U	4
U	G	U	R	U
A	U	G	U	R
Y	A	U	G	U
:	Y	A	U	G
T	:	Y	A	U
o	T	:	Y	A
o	o	T	:	Y
l	o	o	T	:
s	l	o	o	T
N	s	l	o	o
e	N	s	l	o
e	e	N	s	l
d	e	e	N	s
e	d	e	e	N
d	e	d	e	e
f	d	e	d	e
o	f	d	e	d
r	o	f	d	e
T	r	o	f	d
h	T	r	o	f
o	h	T	r	o
s	o	h	T	r
e	s	o	h	T
M	e	s	o	h
o	M	e	s	o
s	o	M	e	s
t	s	o	M	e
V	t	s	o	M
u	V	t	s	o
l	u	V	t	s
n	l	u	V	t
e	n	l	u	V
r	e	n	l	u
a	r	e	n	l
b	a	r	e	n
l	b	a	r	e
.	l	b	a	r
.	.	l	b	a
.	.	.	l	b
"	.	.	.	l
"	"	.	.	.
.	"	"	.	.
.	.	"	"	.
.	.	.	"	"
.	.	.	.	"
.	.	.	.	.
.	.	.	.	.
"	.	.	.	.
"	"	.	.	.
6	"	"	.	.
0	6	"	"	.
8	0	6	"	"
5	8	0	6	"
@	5	8	0	6
b	@	5	8	0
l	b	@	5	8
o	l	b	@	5
o	o	l	b	@
d	o	o	l	b
l	d	o	o	l
e	l	d	o	o
s	e	l	d	o
s	s	e	l	d
_	s	s	e	l
c	_	s	s	e
o	c	_	s	s
u	o	c	_	s
